model,experiment,region_name,horizon,n,MAE,RMSE,MASE,sMAPE,modell
naive,naive,Norra Norrland,6,42.0,2140.6428571428573,2498.1536086439824,1.8866111929527802,45.36723244332406,Naive
naive,naive,Norrbottens län,1,47.0,527.2553191489362,647.0643527468845,0.9001089060614935,28.926252002878687,Naive
naive,naive,Norrbottens län,3,45.0,708.2222222222222,905.3850991582409,1.2090482666383746,38.37200801312827,Naive
naive,naive,Norrbottens län,6,42.0,870.4047619047619,997.733300083363,1.48591972354764,46.41841694727164,Naive
naive,naive,Skåne län,1,47.0,145.7872340425532,188.2099325843465,0.7198666636593181,32.92973468773045,Naive
naive,naive,Skåne län,3,45.0,136.55555555555554,178.6425978812942,0.6742825791813126,29.782560870355734,Naive
naive,naive,Skåne län,6,42.0,157.76190476190476,207.33432858435143,0.7789950661958697,34.52773137359196,Naive
naive,naive,Stockholms län,1,47.0,97.36170212765957,122.24217331252832,1.0016286705373871,35.75276641412097,Naive
naive,naive,Stockholms län,3,45.0,112.93333333333334,143.81175967987534,1.161825050857309,39.0921152634807,Naive
naive,naive,Stockholms län,6,42.0,106.9047619047619,135.2905163325346,1.0998048739984223,36.9891674065664,Naive
naive,naive,Svealand,1,47.0,1087.1914893617022,1352.3162320586712,1.0473735426471666,20.777586428288643,Naive
naive,naive,Svealand,3,45.0,1554.7111111111112,1934.1180131752274,1.4977704481419194,28.88888940299685,Naive
naive,naive,Svealand,6,42.0,1514.547619047619,1872.2310284282557,1.4590779276620924,27.565508241063824,Naive
naive,naive,Södermanlands län,1,47.0,118.76595744680851,164.27597433794404,0.7526521470850379,28.40839494167789,Naive
naive,naive,Södermanlands län,3,45.0,161.3111111111111,227.24577981657754,1.0222723475355056,34.789196580308044,Naive
naive,naive,Södermanlands län,6,42.0,188.26190476190476,262.0505676391486,1.1930668508004707,40.36763063056949,Naive
naive,naive,Södra Norrland,1,47.0,1343.7021276595744,1850.0167336793515,1.0397216013873052,22.46437242877213,Naive
naive,naive,Södra Norrland,3,45.0,1875.6,2517.217767474417,1.451290278864607,29.13637497392758,Naive
